telegram_id,full_name,count_predictions,work_or_stop
1113767419,,10,-
780201552,,6,-
777914847,,4,-
655552725,,5,-
936440647,,6,-
769699877,,5,-
217381270,,4,-
664295561,Лев Рейн,7,+
853415338,,6,-
5005201756,,5,-
936114484,,5,-
743196741,,5,-
1017167578,,6,-
835242675,,6,-
1136997058,,6,-
1488371377,,6,-
1074395586,,6,-
920041825,,5,-
1030077990,,6,-
1583318698,,5,-
5250657911,,5,-
5736071280,,5,-
2011407401,,5,-
845776936,,4,-
981887598,,4,-
5352265596,Lev Reyn Second,4,+
2015322755,,5,-
1171124398,,6,-
1206416757,,5,-
1010177413,,3,-
1030139442,,5,-
1444841055,,5,-
5328822358,,6,-
5342886450,,6,-
643804464,,5,-
